#Lambda		#gdark		#mchi		#mbx		#mphi		#omega 
   1.0000000000000000E-008   6.1554912500000000E-004   5.0000000000000003E-002   5.0000000000000001E-003  0.59999999999999998       0.12589659567700001     
   1.0000000000000001E-009   1.2310982500000001       0.40000000000000002        100.00000000000000        1.0000000000000000       0.12531776456200000     
   1.0000000000000001E-009  0.61554912500000003       0.40000000000000002        50.000000000000000        1.0000000000000000       0.12531532110599999     
   1.0000000000000001E-009  0.12310982500000001       0.40000000000000002        10.000000000000000        1.0000000000000000       0.12523638391200001     
   1.0000000000000000E-008   9.8487860000000000E-004   5.0000000000000003E-002   8.0000000000000002E-003  0.59999999999999998       0.12460663100600000     
   1.0000000000000000E-008   1.2310982500000000E-003   5.0000000000000003E-002   1.0000000000000000E-002  0.59999999999999998       0.12344610946800000     
   1.0000000000000000E-008   2.4621965000000000E-003  0.40000000000000002        2.0000000000000000E-002   10.000000000000000       0.12227342749400000     
   1.0000000000000000E-008   2.4621965000000000E-003  0.40000000000000002        2.0000000000000000E-002   8.0000000000000000       0.12221292742400000     
   1.0000000000000000E-008   2.4621965000000000E-003  0.40000000000000002        2.0000000000000000E-002   5.0000000000000000       0.12164692501200000     
   1.0000000000000001E-009   1.2310982500000001       0.10000000000000001        100.00000000000000       0.20000000000000001       0.12027287556900000     
   1.0000000000000001E-009  0.61554912500000003       0.10000000000000001        50.000000000000000       0.20000000000000001       0.12027286383100000     
   1.0000000000000001E-009  0.12310982500000001       0.10000000000000001        10.000000000000000       0.20000000000000001       0.12027248792000000     
   1.0000000000000001E-009   9.8487860000000000E-003  0.10000000000000001       0.80000000000000004       0.20000000000000001       0.12020277928500001     
   1.0000000000000001E-009   6.1554912499999998E-003  0.10000000000000001       0.50000000000000000       0.20000000000000001       0.12004615429700000     
   1.0000000000000001E-009   4.9243930000000000E-003  0.10000000000000001       0.40000000000000002       0.20000000000000001       0.11982136467000000     
   1.0000000000000000E-008   2.4621965000000000E-003   5.0000000000000003E-002   2.0000000000000000E-002  0.59999999999999998       0.11472510580500000     
   1.0000000000000001E-009   6.1554912500009999       0.29999999999999999        500.00000000000000       0.59999999999999998       0.11373974068300000     
   1.0000000000000001E-009   1.2310982500000001       0.29999999999999999        100.00000000000000       0.59999999999999998       0.11099503378200000     
   1.0000000000000001E-009  0.61554912500000003       0.29999999999999999        50.000000000000000       0.59999999999999998       0.11099428136000000     
   1.0000000000000001E-009  0.12310982500000001       0.29999999999999999        10.000000000000000       0.59999999999999998       0.11097006933200000     
   1.0000000000000001E-009   6.1554912500009999       0.50000000000000000        500.00000000000000        1.0000000000000000       0.11025301379000001     
   1.0000000000000001E-009   1.2310982500000000E-002  0.29999999999999999        1.0000000000000000       0.59999999999999998       0.10588251586700000     
   1.0000000000000000E-008   6.1554912499999998E-003  0.10000000000000001        5.0000000000000003E-002   10.000000000000000       0.10546598836399999     
   1.0000000000000000E-008   6.1554912499999998E-003  0.10000000000000001        5.0000000000000003E-002   8.0000000000000000       0.10546314599200000     
   1.0000000000000000E-008   6.1554912499999998E-003  0.10000000000000001        5.0000000000000003E-002   5.0000000000000000       0.10543641085400000     
   1.0000000000000000E-008   1.2310983000000000E-005  0.50000000000000000        1.0000000000000000E-004   10.000000000000000       0.10448434717400000     
   1.0000000000000000E-008   6.1554912999999998E-005  0.50000000000000000        5.0000000000000001E-004   10.000000000000000       0.10447896839100000     
   1.0000000000000000E-008   1.2310982500000000E-004  0.50000000000000000        1.0000000000000000E-003   10.000000000000000       0.10446216333300000     
   1.0000000000000000E-008   1.2310983000000000E-005  0.50000000000000000        1.0000000000000000E-004   8.0000000000000000       0.10441677812200000     
   1.0000000000000000E-008   6.1554912999999998E-005  0.50000000000000000        5.0000000000000001E-004   8.0000000000000000       0.10441140653300000     
   1.0000000000000000E-008   2.4621965000000000E-004  0.50000000000000000        2.0000000000000000E-003   10.000000000000000       0.10439499816300001     
   1.0000000000000000E-008   1.2310982500000000E-004  0.50000000000000000        1.0000000000000000E-003   8.0000000000000000       0.10439462394900000     
   1.0000000000000000E-008   2.4621965000000000E-004  0.50000000000000000        2.0000000000000000E-003   8.0000000000000000       0.10432754856199999     
   1.0000000000000000E-008   3.6932947500000000E-004  0.50000000000000000        3.0000000000000001E-003   10.000000000000000       0.10428325161599999     
   1.0000000000000000E-008   3.6932947500000000E-004  0.50000000000000000        3.0000000000000001E-003   8.0000000000000000       0.10421595125600000     
   1.0000000000000000E-008   6.1554912500000000E-004  0.50000000000000000        5.0000000000000001E-003   10.000000000000000       0.10392729545500000     
   1.0000000000000000E-008   6.1554912500000000E-004  0.50000000000000000        5.0000000000000001E-003   8.0000000000000000       0.10386046936700000     
   1.0000000000000000E-008   1.2310983000000000E-005  0.50000000000000000        1.0000000000000000E-004   5.0000000000000000       0.10378571142699999     
   1.0000000000000000E-008   6.1554912999999998E-005  0.50000000000000000        5.0000000000000001E-004   5.0000000000000000       0.10378040676700000     
